model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_fixed,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_fixed,56,5,True,1,0.2307,False,0,,lost
yolov8n.pt,0.15,video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_fixed,60,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,5,True,1,0.2307,False,0,,lost
yolov8n.pt,0.15,video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_fixed,60,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_quality_weighted,60,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00718_t23.93_clear,video2,clear,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00718_t23.93_clear,video2,clear,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00794_t26.47_moderate_blur,video2,moderate_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
